Movie_ID,Title,Genre,Director,Year,Rating,Budget_USD,Revenue_USD,Runtime_Min
34,Movie 34,Romance,Rajamouli,2015,8.0,60000000,99182536,111
35,Movie 35,Fantasy,Denis Villeneuve,1998,6.3,147000000,238031881,139
36,Movie 36,Romance,Denis Villeneuve,2025,4.5,281000000,128158439,187
37,Movie 37,Romance,Farhan Akhtar,2005,4.9,253000000,321876653,141
38,Movie 38,Thriller,Farhan Akhtar,1993,4.9,6000000,8806629,129
39,Movie 39,Horror,Christopher Nolan,2017,7.8,289000000,1047610967,164
40,Movie 40,Drama,Zoya Akhtar,2008,5.2,34000000,112227243,154
41,Movie 41,Sci-Fi,Bong Joon Ho,2010,4.3,249000000,962054103,144
42,Movie 42,Fantasy,James Cameron,1993,9.3,46000000,84002203,188
43,Movie 43,Crime,Villenueve,2005,6.2,296000000,845048155,111
44,Movie 44,Sci-Fi,Anurag Kashyap,1995,6.3,294000000,550428391,146
45,Movie 45,Action,Zoya Akhtar,2010,5.3,207000000,635991529,96
46,Movie 46,Action,Denis Villeneuve,2010,9.1,42000000,118922369,81
47,Movie 47,Crime,Villenueve,1994,7.0,264000000,337480431,113
48,Movie 48,Comedy,Farhan Akhtar,1994,8.8,194000000,319020964,116
49,Movie 49,Fantasy,Bong Joon Ho,2009,7.4,275000000,927542047,81
50,Movie 50,Fantasy,Christopher Nolan,1996,9.2,73000000,112684913,113
51,Movie 51,Romance,Bong Joon Ho,2025,4.9,149000000,187798510,157
52,Movie 52,Comedy,Zoya Akhtar,2006,6.8,133000000,124758760,188
53,Movie 53,Thriller,Ayan Mukerji,2007,4.2,175000000,149120074,178
54,Movie 54,Action,James Cameron,2018,7.0,223000000,181019103,151
55,Movie 55,Romance,Farhan Akhtar,1999,7.0,194000000,557671501,154
56,Movie 56,Thriller,James Cameron,1992,5.7,25000000,34457271,125
57,Movie 57,Animation,Steven Spielberg,1996,5.9,291000000,1254378979,132
58,Movie 58,Drama,Farhan Akhtar,2005,8.8,95000000,108222876,132
59,Movie 59,Comedy,S.S. Rajamouli,2016,8.4,132000000,209873638,114
60,Movie 60,Romance,Greta Gerwig,1992,8.7,118000000,487697433,105
61,Movie 61,Horror,Sanjay Leela Bhansali,2009,8.5,121000000,131880907,108
62,Movie 62,Animation,Greta Gerwig,2011,5.5,40000000,64426998,178
63,Movie 63,Fantasy,Greta Gerwig,2024,5.8,19000000,74627173,94
64,Movie 64,Action,James Cameron,2006,4.2,227000000,709027969,124
65,Movie 65,Comedy,Greta Gerwig,2022,4.6,300000000,414883656,104
66,Movie 66,Thriller,Rajamouli,2023,9.1,280000000,1070673519,167
67,Movie 67,Animation,Sanjay Leela Bhansali,2017,4.4,174000000,274551024,159
68,Movie 68,Romance,Bong Joon Ho,2009,6.8,214000000,486661994,121
69,Movie 69,Action,Rian Johnson,1998,5.1,199000000,663249354,166
70,Movie 70,Drama,Anurag Kashyap,2009,6.2,5000000,8726360,118
71,Movie 71,Thriller,S.S. Rajamouli,2010,6.6,231000000,352752089,166
72,Movie 72,Horror,S.S. Rajamouli,2000,7.6,150000000,508146686,145
73,Movie 73,Crime,Sanjay Leela Bhansali,1995,8.5,125000000,272449245,166
74,Movie 74,Animation,James Cameron,1991,4.3,248000000,892552803,158
75,Movie 75,Romance,Denis Villeneuve,2016,8.9,299000000,1133124629,104
76,Movie 76,Thriller,Denis Villeneuve,2015,5.3,7000000,26527719,176
77,Movie 77,Romance,S.S. Rajamouli,2017,5.2,270000000,187874063,139
78,Movie 78,Animation,Farhan Akhtar,1997,6.5,242000000,657828882,165
79,Movie 79,Fantasy,Anurag Kashyap,2010,9.2,231000000,970667712,158
80,Movie 80,Fantasy,Greta Gerwig,2025,6.5,86000000,341736536,175
81,Movie 81,Horror,Christopher Nolan,2005,8.6,146000000,579643998,178
82,Movie 82,Horror,Steven Spielberg,2005,5.5,44000000,71973746,171
83,Movie 83,Action,Sanjay Leela Bhansali,2010,8.9,46000000,75125199,97
84,Movie 84,Thriller,Bong Joon Ho,1999,7.9,37000000,90978471,133
85,Movie 85,Fantasy,Denis Villeneuve,2016,4.3,220000000,837844967,129
86,Movie 86,Crime,Bong Joon Ho,1991,8.7,299000000,849914372,128
87,Movie 87,Comedy,Christopher Nolan,2014,8.7,219000000,847652539,148
88,Movie 88,Fantasy,S.S. Rajamouli,2004,6.7,144000000,370863299,135
89,Movie 89,Thriller,Sanjay Leela Bhansali,2015,8.0,244000000,1135025417,96
90,Movie 90,Fantasy,Rajamouli,2015,7.3,18000000,58724075,90
91,Movie 91,Drama,Ayan Mukerji,2019,5.0,138000000,237213738,128
92,Movie 92,Horror,Sanjay Leela Bhansali,2011,8.2,199000000,758714828,115
93,Movie 93,Thriller,Christopher Nolan,1995,6.6,281000000,1268616579,86
94,Movie 94,Comedy,Zoya Akhtar,1994,8.3,25000000,27197849,176
95,Movie 95,Animation,Zoya Akhtar,1991,7.4,127000000,334585568,96
96,Movie 96,Romance,Anurag Kashyap,2003,6.6,136000000,287885026,178
97,Movie 97,Crime,Anurag Kashyap,1997,8.3,88000000,121508221,119
98,Movie 98,Sci-Fi,Farhan Akhtar,2009,7.2,197000000,863369890,130
99,Movie 99,Animation,Villenueve,2005,4.6,159000000,479414311,188
100,Movie 100,Romance,S.S. Rajamouli,1992,5.9,224000000,452069929,164
101,Movie 101,Fantasy,Steven Spielberg,2011,4.1,220000000,484608625,185
102,Movie 102,Thriller,Sanjay Leela Bhansali,2019,7.9,227000000,839541829,102
103,Movie 103,Action,Anurag Kashyap,2024,8.3,243000000,998193328,135
104,Movie 104,Crime,Christopher Nolan,2010,8.7,49000000,214629726,115
105,Movie 105,Animation,S.S. Rajamouli,2019,7.1,199000000,178912938,123
106,Movie 106,Comedy,James Cameron,2021,5.2,137000000,214775208,123
107,Movie 107,Crime,Bong Joon Ho,2007,7.1,269000000,300023569,104
108,Movie 108,Thriller,Denis Villeneuve,2025,8.2,248000000,907680283,162
109,Movie 109,Horror,S.S. Rajamouli,1991,4.5,118000000,357397360,131
110,Movie 110,Action,Steven Spielberg,2013,6.6,276000000,643608398,124
111,Movie 111,Fantasy,Sanjay Leela Bhansali,2012,7.9,143000000,266742757,119
112,Movie 112,Romance,Bong Joon Ho,2002,5.7,279000000,893531400,177
113,Movie 113,Animation,Zoya Akhtar,2020,5.5,273000000,443732854,156
114,Movie 114,Romance,Ayan Mukerji,2002,5.6,189000000,323873582,102
115,Movie 115,Fantasy,James Cameron,2007,4.3,32000000,47363815,150
116,Movie 116,Drama,Steven Spielberg,2021,4.6,11000000,16450383,153
117,Movie 117,Horror,Denis Villeneuve,2011,5.0,31000000,125582291,112
118,Movie 118,Horror,Villenueve,1994,6.2,42000000,127969534,153
119,Movie 119,Sci-Fi,James Cameron,1999,8.5,160000000,764302218,90
120,Movie 120,Romance,Rian Johnson,2016,7.3,120000000,336693076,179
121,Movie 121,Horror,Farhan Akhtar,2018,5.6,224000000,610577405,119
122,Movie 122,Sci-Fi,Anurag Kashyap,1996,9.2,111000000,211665427,160
123,Movie 123,Romance,James Cameron,2005,5.0,43000000,20862213,100
124,Movie 124,Horror,Bong Joon Ho,2020,5.6,123000000,399926154,116
125,Movie 125,Horror,Villenueve,2004,9.1,106000000,161771894,134
126,Movie 126,Animation,Steven Spielberg,1999,9.0,77000000,100225090,89
127,Movie 127,Action,Anurag Kashyap,2008,6.4,244000000,449093351,168
128,Movie 128,Thriller,Christopher Nolan,2022,7.0,229000000,697886503,90
129,Movie 129,Thriller,Bong Joon Ho,2010,7.3,18000000,30418430,91
130,Movie 130,Crime,Anurag Kashyap,1991,9.5,142000000,185009010,153
131,Movie 131,Drama,Denis Villeneuve,2023,7.6,147000000,684048742,103
132,Movie 132,Thriller,Steven Spielberg,2021,9.3,245000000,654572074,124
133,Movie 133,Comedy,Steven Spielberg,1996,8.7,173000000,634211073,132
134,Movie 134,Action,Steven Spielberg,2015,8.5,286000000,780304797,84
135,Movie 135,Comedy,Christopher Nolan,2010,4.6,211000000,500168275,190
136,Movie 136,Sci-Fi,Steven Spielberg,2024,6.5,32000000,85442230,104
137,Movie 137,Crime,S.S. Rajamouli,2021,7.4,31000000,57344224,106
138,Movie 138,Drama,Farhan Akhtar,2008,6.4,253000000,201060081,95
139,Movie 139,Crime,S.S. Rajamouli,2005,7.9,164000000,157761926,150
140,Movie 140,Thriller,Villenueve,2004,9.5,63000000,299176341,139
141,Movie 141,Drama,Denis Villeneuve,2008,6.8,144000000,564040943,133
142,Movie 142,Horror,Zoya Akhtar,2019,7.0,201000000,859897892,104
143,Movie 143,Fantasy,Bong Joon Ho,1998,8.8,146000000,590865429,178
144,Movie 144,Thriller,Sanjay Leela Bhansali,2022,5.5,6000000,19853962,116
145,Movie 145,Crime,Anurag Kashyap,2021,8.8,233000000,672320862,148
146,Movie 146,Comedy,Rian Johnson,2024,6.1,169000000,738013468,104
147,Movie 147,Animation,Anurag Kashyap,2014,5.3,215000000,371750059,85
148,Movie 148,Horror,Bong Joon Ho,2014,6.1,82000000,353119294,143
149,Movie 149,Drama,Rian Johnson,2011,8.8,230000000,700031249,92
150,Movie 150,Horror,Rajamouli,1999,6.3,84000000,206141399,89
151,Movie 151,Action,Sanjay Leela Bhansali,2015,7.6,173000000,592967617,189
152,Movie 152,Fantasy,Greta Gerwig,2010,7.4,254000000,246739811,149
153,Movie 153,Romance,Zoya Akhtar,2008,9.5,51000000,248251851,135
154,Movie 154,Romance,Denis Villeneuve,2000,7.8,19000000,40424850,85
155,Movie 155,Sci-Fi,Christopher Nolan,2012,6.1,79000000,210016128,111
156,Movie 156,Crime,Steven Spielberg,2001,4.9,45000000,169613571,158
157,Movie 157,Crime,Steven Spielberg,2005,6.7,78000000,193624834,109
158,Movie 158,Action,Denis Villeneuve,2006,7.7,243000000,839545891,116
159,Movie 159,Drama,Villenueve,2018,9.2,158000000,752192255,161
160,Movie 160,Action,Denis Villeneuve,2009,5.1,201000000,467564317,189
161,Movie 161,Animation,Greta Gerwig,2012,7.2,156000000,705305490,82
162,Movie 162,Thriller,Christopher Nolan,1990,7.1,30000000,108649625,157
163,Movie 163,Action,S.S. Rajamouli,2004,7.3,185000000,599242368,108
164,Movie 164,Crime,Christopher Nolan,1998,7.5,25000000,96167995,119
165,Movie 165,Sci-Fi,Anurag Kashyap,2013,8.0,51000000,110493166,117
166,Movie 166,Thriller,James Cameron,2002,4.7,281000000,687674164,126
167,Movie 167,Action,Ayan Mukerji,2000,5.4,251000000,415790914,183
168,Movie 168,Comedy,S.S. Rajamouli,1997,6.6,43000000,153973353,98
169,Movie 169,Animation,Ayan Mukerji,2015,9.3,290000000,424313768,126
170,Movie 170,Thriller,Rajamouli,2006,7.0,237000000,789624240,127
171,Movie 171,Action,Anurag Kashyap,2014,8.5,195000000,695053887,93
172,Movie 172,Horror,Rajamouli,2025,5.8,118000000,98556521,162
173,Movie 173,Horror,Farhan Akhtar,2009,7.6,64000000,66388344,97
174,Movie 174,Sci-Fi,Christopher Nolan,2021,4.6,125000000,116315423,148
175,Movie 175,Horror,Sanjay Leela Bhansali,2024,6.3,84000000,265331069,133
176,Movie 176,Horror,Anurag Kashyap,2016,9.2,148000000,551753845,84
177,Movie 177,Animation,Denis Villeneuve,2018,9.2,190000000,918179812,92
178,Movie 178,Comedy,Rian Johnson,2012,4.3,146000000,591181174,104
179,Movie 179,Horror,Villenueve,2003,7.5,15000000,57597291,86
180,Movie 180,Animation,James Cameron,2003,4.4,288000000,752617646,106
181,Movie 181,Animation,Sanjay Leela Bhansali,1999,8.3,6000000,25391659,115
182,Movie 182,Drama,James Cameron,2024,5.4,94000000,286419789,94
183,Movie 183,Sci-Fi,James Cameron,1990,6.0,126000000,233771775,155
184,Movie 184,Drama,Christopher Nolan,1993,4.7,220000000,189610820,147
185,Movie 185,Romance,Denis Villeneuve,2018,8.3,267000000,369636198,155
186,Movie 186,Fantasy,Zoya Akhtar,1992,8.0,271000000,722367189,118
187,Movie 187,Sci-Fi,Rajamouli,2020,8.7,223000000,321176854,167
188,Movie 188,Horror,Villenueve,1995,5.8,80000000,85962242,88
189,Movie 189,Crime,Steven Spielberg,2025,7.9,200000000,585223196,156
190,Movie 190,Horror,Rian Johnson,2017,4.5,63000000,181938282,189
191,Movie 191,Fantasy,Bong Joon Ho,2003,6.4,121000000,238725758,132
192,Movie 192,Horror,Greta Gerwig,2016,8.0,165000000,348577279,134
193,Movie 193,Action,Sanjay Leela Bhansali,1999,7.8,247000000,306688586,88
194,Movie 194,Romance,Villenueve,2017,4.5,195000000,174415551,183
195,Movie 195,Sci-Fi,Anurag Kashyap,2025,7.1,67000000,142956071,132
196,Movie 196,Thriller,Ayan Mukerji,1993,9.3,164000000,248243872,125
197,Movie 197,Fantasy,Zoya Akhtar,1999,7.6,119000000,151871352,188
198,Movie 198,Fantasy,Sanjay Leela Bhansali,1997,8.2,298000000,1198687480,108
199,Movie 199,Fantasy,S.S. Rajamouli,2025,4.1,141000000,144606931,83
200,Movie 200,Action,Farhan Akhtar,2011,5.9,97000000,267915955,98
201,Movie 201,Thriller,Villenueve,1999,8.1,20000000,75504493,91
202,Movie 202,Animation,Greta Gerwig,2016,6.5,85000000,160158870,127
203,Movie 203,Comedy,S.S. Rajamouli,1995,8.9,84000000,329855932,100
204,Movie 204,Sci-Fi,Steven Spielberg,1995,5.5,222000000,634229319,142
205,Movie 205,Thriller,Christopher Nolan,2003,8.2,63000000,163086323,124
206,Movie 206,Action,Steven Spielberg,2021,6.9,162000000,258871148,85
207,Movie 207,Crime,Rajamouli,1990,5.1,113000000,114298625,178
208,Movie 208,Action,Christopher Nolan,2010,4.7,259000000,535220662,175
209,Movie 209,Drama,Greta Gerwig,2024,7.9,261000000,1064030697,151
210,Movie 210,Comedy,Villenueve,2015,8.7,26000000,28631663,135
211,Movie 211,Romance,Ayan Mukerji,2010,7.2,298000000,1043326624,131
212,Movie 212,Thriller,Christopher Nolan,1997,6.2,171000000,632704135,101
213,Movie 213,Crime,Denis Villeneuve,2013,4.5,59000000,121278677,111
214,Movie 214,Thriller,Rian Johnson,1995,6.2,163000000,317059526,175
215,Movie 215,Comedy,S.S. Rajamouli,2000,4.4,63000000,146337523,147
216,Movie 216,Comedy,Sanjay Leela Bhansali,1999,5.3,79000000,100300995,112
217,Movie 217,Crime,James Cameron,1994,5.0,257000000,858866792,139
218,Movie 218,Crime,Denis Villeneuve,2010,8.8,166000000,450872384,99
219,Movie 219,Horror,Denis Villeneuve,2009,8.4,33000000,96125045,125
220,Movie 220,Action,Denis Villeneuve,2018,4.2,193000000,279057295,186
221,Movie 221,Romance,Anurag Kashyap,2022,6.1,288000000,992995192,181
222,Movie 222,Sci-Fi,Denis Villeneuve,2002,5.8,248000000,289731478,144
223,Movie 223,Sci-Fi,Denis Villeneuve,1996,8.5,180000000,237681126,171
224,Movie 224,Drama,Rajamouli,2005,7.9,229000000,663285340,147
225,Movie 225,Drama,Sanjay Leela Bhansali,2013,9.0,203000000,815647137,132
226,Movie 226,Crime,Rajamouli,2011,4.4,53000000,157030600,151
227,Movie 227,Action,Christopher Nolan,1999,5.8,77000000,136588806,124
228,Movie 228,Thriller,James Cameron,1995,5.7,197000000,706898141,162
229,Movie 229,Drama,Steven Spielberg,2023,4.5,221000000,392263235,145
230,Movie 230,Comedy,Christopher Nolan,2001,9.2,179000000,528556480,178
231,Movie 231,Animation,James Cameron,1999,4.4,56000000,185602140,144
232,Movie 232,Fantasy,Rajamouli,2011,8.8,72000000,178310556,156
233,Movie 233,Drama,James Cameron,2000,8.0,27000000,62352119,132
234,Movie 234,Animation,Denis Villeneuve,2008,8.1,234000000,694802714,109
235,Movie 235,Action,S.S. Rajamouli,2020,9.0,104000000,379866857,127
236,Movie 236,Crime,Denis Villeneuve,2019,8.2,200000000,591869439,144
237,Movie 237,Drama,Ayan Mukerji,2002,8.4,75000000,88746243,112
238,Movie 238,Horror,Ayan Mukerji,2013,7.0,57000000,227395267,171
239,Movie 239,Romance,Christopher Nolan,1995,8.2,144000000,632903557,137
240,Movie 240,Drama,Ayan Mukerji,2017,4.5,118000000,249485790,184
241,Movie 241,Comedy,Farhan Akhtar,1991,6.3,207000000,432848106,144
242,Movie 242,Thriller,Villenueve,2013,5.2,168000000,620570142,92
243,Movie 243,Comedy,S.S. Rajamouli,1999,4.8,151000000,338289640,186
244,Movie 244,Drama,S.S. Rajamouli,2020,6.5,7000000,5405503,90
245,Movie 245,Animation,Ayan Mukerji,1999,7.0,275000000,329315269,134
246,Movie 246,Action,Zoya Akhtar,2009,4.7,127000000,362968105,133
247,Movie 247,Crime,Denis Villeneuve,1994,4.6,260000000,637521138,156
248,Movie 248,Fantasy,Anurag Kashyap,2005,8.0,154000000,143365449,134
249,Movie 249,Comedy,Zoya Akhtar,2016,5.0,48000000,200576979,147
250,Movie 250,Romance,Rian Johnson,2024,6.8,264000000,217079376,150
251,Movie 251,Horror,Rajamouli,2014,9.4,134000000,160360544,175
252,Movie 252,Romance,Sanjay Leela Bhansali,2005,8.0,58000000,181901492,178
253,Movie 253,Comedy,James Cameron,1992,5.9,178000000,543366954,184
254,Movie 254,Horror,Bong Joon Ho,2020,7.5,74000000,264251870,88
255,Movie 255,Horror,Rajamouli,2008,5.1,107000000,180751260,85
256,Movie 256,Action,Rian Johnson,2015,9.4,283000000,593618623,140
257,Movie 257,Animation,Christopher Nolan,2012,8.7,29000000,102131596,190
258,Movie 258,Action,Villenueve,2013,6.4,209000000,492403834,175
259,Movie 259,Thriller,Sanjay Leela Bhansali,2001,6.7,259000000,1098776361,127
260,Movie 260,Fantasy,Christopher Nolan,1995,8.0,45000000,144644514,135
261,Movie 261,Drama,Rian Johnson,2008,5.8,45000000,139792186,121
262,Movie 262,Action,Denis Villeneuve,2017,4.9,232000000,500909507,124
263,Movie 263,Comedy,Anurag Kashyap,2017,5.5,34000000,105416958,89
264,Movie 264,Thriller,Sanjay Leela Bhansali,2022,8.4,86000000,131370330,83
265,Movie 265,Crime,Steven Spielberg,2018,4.2,39000000,129220978,110
266,Movie 266,Comedy,Sanjay Leela Bhansali,2014,9.2,21000000,35449365,157
267,Movie 267,Horror,Sanjay Leela Bhansali,2013,6.4,44000000,53162622,153
268,Movie 268,Comedy,Greta Gerwig,2010,7.6,132000000,127178131,94
269,Movie 269,Drama,Denis Villeneuve,2023,6.1,292000000,477347400,95
270,Movie 270,Action,Bong Joon Ho,2018,5.2,151000000,602130598,168
271,Movie 271,Horror,Zoya Akhtar,1997,4.7,42000000,45615955,137
272,Movie 272,Horror,Villenueve,2010,7.7,38000000,111729544,150
273,Movie 273,Action,Ayan Mukerji,2000,7.9,94000000,214665007,181
274,Movie 274,Animation,Villenueve,2002,8.4,126000000,360647703,181
275,Movie 275,Comedy,Rian Johnson,2013,6.6,287000000,872595884,96
276,Movie 276,Romance,Villenueve,2009,6.2,250000000,554005364,147
277,Movie 277,Thriller,Ayan Mukerji,1994,4.7,167000000,118875121,162
278,Movie 278,Horror,Steven Spielberg,2023,5.9,287000000,816109401,161
279,Movie 279,Drama,Greta Gerwig,2022,9.0,33000000,51044804,186
280,Movie 280,Drama,Christopher Nolan,2000,4.9,120000000,487252310,124
281,Movie 281,Fantasy,Farhan Akhtar,2008,8.7,133000000,457947853,105
282,Movie 282,Fantasy,Christopher Nolan,1998,7.4,278000000,763048270,91
283,Movie 283,Drama,Anurag Kashyap,1999,4.9,177000000,702855133,187
284,Movie 284,Sci-Fi,Ayan Mukerji,1991,4.4,300000000,857788174,113
285,Movie 285,Crime,Greta Gerwig,1991,6.7,284000000,900066346,117
286,Movie 286,Action,Denis Villeneuve,2005,8.4,212000000,574195153,118
287,Movie 287,Sci-Fi,James Cameron,2018,6.3,242000000,474981085,106
288,Movie 288,Drama,Sanjay Leela Bhansali,2010,8.0,181000000,257365959,131
289,Movie 289,Comedy,Rian Johnson,2025,4.6,128000000,112714656,139
290,Movie 290,Horror,Zoya Akhtar,1999,4.5,153000000,563624862,129
291,Movie 291,Thriller,Zoya Akhtar,2000,8.5,300000000,656495009,172
292,Movie 292,Drama,Denis Villeneuve,2022,6.6,162000000,130097329,143
293,Movie 293,Thriller,Rian Johnson,2019,9.3,115000000,283015153,154
294,Movie 294,Sci-Fi,Christopher Nolan,2021,7.3,245000000,700559087,116
295,Movie 295,Romance,Greta Gerwig,1998,8.9,192000000,497734171,177
296,Movie 296,Sci-Fi,Greta Gerwig,1993,7.1,104000000,300793700,126
297,Movie 297,Romance,Greta Gerwig,2022,6.5,286000000,1097148340,115
298,Movie 298,Crime,Steven Spielberg,1997,4.7,54000000,99800298,130
299,Movie 299,Comedy,Rian Johnson,2013,8.2,106000000,306304549,157
300,Movie 300,Fantasy,Rajamouli,1992,4.2,175000000,377164860,182
301,Movie 301,Horror,James Cameron,2022,4.8,168000000,325622208,100
302,Movie 302,Crime,Bong Joon Ho,2009,7.3,264000000,727825185,186
303,Movie 303,Horror,Bong Joon Ho,2009,6.6,13000000,25658235,127
304,Movie 304,Romance,Greta Gerwig,2009,8.4,18000000,50191970,156
305,Movie 305,Crime,Anurag Kashyap,2004,8.0,250000000,729270715,101
306,Movie 306,Crime,S.S. Rajamouli,2014,4.8,129000000,338078947,84
307,Movie 307,Romance,Zoya Akhtar,1991,6.4,219000000,493680403,99
308,Movie 308,Animation,Greta Gerwig,2022,8.3,246000000,926480681,188
309,Movie 309,Sci-Fi,Bong Joon Ho,1998,6.9,292000000,1329437134,121
310,Movie 310,Horror,Rian Johnson,2014,5.7,93000000,376284678,138
311,Movie 311,Comedy,Rian Johnson,2012,7.7,140000000,380783814,158
312,Movie 312,Animation,Christopher Nolan,2025,5.6,157000000,261124868,178
313,Movie 313,Animation,Bong Joon Ho,2021,5.7,183000000,755435240,151
314,Movie 314,Action,Christopher Nolan,1997,7.2,283000000,1191115800,128
315,Movie 315,Thriller,Ayan Mukerji,2012,9.3,79000000,101108359,117
316,Movie 316,Romance,Sanjay Leela Bhansali,2018,7.6,250000000,408214606,107
317,Movie 317,Fantasy,Christopher Nolan,2025,7.8,75000000,242592954,93
318,Movie 318,Crime,Zoya Akhtar,2005,4.3,276000000,771196268,108
319,Movie 319,Sci-Fi,Villenueve,2016,5.8,246000000,783148269,92
320,Movie 320,Drama,Rajamouli,2025,9.4,85000000,307359373,132
321,Movie 321,Horror,Denis Villeneuve,2002,8.2,152000000,310015901,121
322,Movie 322,Sci-Fi,Farhan Akhtar,1995,7.6,123000000,451657080,148
323,Movie 323,Sci-Fi,Farhan Akhtar,2001,6.3,95000000,423629020,84
324,Movie 324,Thriller,S.S. Rajamouli,2021,5.0,153000000,78062931,84
325,Movie 325,Crime,Anurag Kashyap,1996,9.1,176000000,495708663,116
326,Movie 326,Fantasy,Rian Johnson,2021,8.9,73000000,217248595,188
327,Movie 327,Action,Zoya Akhtar,1997,5.8,239000000,375852964,162
328,Movie 328,Drama,Rajamouli,2011,8.3,295000000,1135063963,166
329,Movie 329,Drama,Anurag Kashyap,2015,8.5,268000000,356333744,121
330,Movie 330,Romance,James Cameron,1998,6.6,132000000,225189894,80
331,Movie 331,Animation,Denis Villeneuve,2007,9.2,159000000,612460623,154
332,Movie 332,Sci-Fi,Christopher Nolan,2013,7.8,36000000,48393159,165
333,Movie 333,Action,James Cameron,2015,7.8,164000000,219953492,168
334,Movie 334,Action,Sanjay Leela Bhansali,2004,5.2,73000000,79358675,141
335,Movie 335,Crime,Sanjay Leela Bhansali,2016,7.9,246000000,726331534,176
336,Movie 336,Animation,S.S. Rajamouli,2005,7.7,46000000,118571546,147
337,Movie 337,Comedy,Villenueve,1997,4.3,285000000,324385791,144
338,Movie 338,Fantasy,James Cameron,2000,5.8,271000000,280948974,136
339,Movie 339,Animation,Bong Joon Ho,2021,4.5,266000000,923825957,137
340,Movie 340,Horror,James Cameron,2022,6.3,293000000,818474801,87
341,Movie 341,Action,Bong Joon Ho,1991,6.2,6000000,8898149,175
342,Movie 342,Romance,Rajamouli,2017,5.9,37000000,162343786,149
343,Movie 343,Romance,Farhan Akhtar,2020,4.2,214000000,701298081,103
344,Movie 344,Thriller,Sanjay Leela Bhansali,2014,6.5,198000000,198980094,128
345,Movie 345,Fantasy,James Cameron,2012,4.7,280000000,683088462,130
346,Movie 346,Animation,Ayan Mukerji,1990,8.2,157000000,551745015,139
347,Movie 347,Fantasy,Greta Gerwig,2024,6.1,122000000,291625879,111
348,Movie 348,Drama,Christopher Nolan,2002,9.2,62000000,259223060,84
349,Movie 349,Thriller,Anurag Kashyap,1991,5.3,39000000,108302522,92
350,Movie 350,Horror,Anurag Kashyap,1993,5.3,27000000,59077584,131
351,Movie 351,Fantasy,Zoya Akhtar,1993,4.8,153000000,542383129,109
352,Movie 352,Crime,Sanjay Leela Bhansali,2010,5.3,78000000,195058812,164
353,Movie 353,Thriller,Christopher Nolan,2007,4.3,94000000,277229544,160
354,Movie 354,Fantasy,Denis Villeneuve,1993,9.3,200000000,622591925,180
355,Movie 355,Thriller,Greta Gerwig,1999,5.6,99000000,258303613,176
356,Movie 356,Animation,Ayan Mukerji,2004,5.7,78000000,182480657,183
